date,day,holiday,type,applicable_states
2026-01-14,Wednesday,Makar Sankranti / Pongal,Restricted,Gujarat; Telangana; Tamil Nadu
2026-01-26,Monday,Republic Day,National,All
2026-03-03,Tuesday,Holi,Gazetted,Maharashtra; Gujarat; Delhi; West Bengal
2026-03-20,Friday,Eid-ul-Fitr (tentative),Gazetted,All
2026-04-14,Tuesday,Dr Ambedkar Jayanti,Gazetted,Maharashtra; Gujarat; Telangana
2026-05-01,Friday,Maharashtra Day / May Day,State,Maharashtra; Tamil Nadu; West Bengal
2026-08-15,Saturday,Independence Day,National,All
2026-09-04,Friday,Ganesh Chaturthi,State,Maharashtra; Telangana; Gujarat
2026-10-02,Friday,Gandhi Jayanti,National,All
2026-10-20,Tuesday,Vijaya Dashami / Dussehra,Gazetted,All
2026-11-08,Sunday,Diwali (Laxmi Pujan),Gazetted,All
2026-11-09,Monday,Diwali (Balipratipada),State,Maharashtra; Gujarat
2026-12-25,Friday,Christmas,National,All
